expanded,solved,type,elapsed_time,NoQueens
106,False,hill climbing with sideways moves,0.24910736083984375,8
44,True,random restart hill climbing,0.08994507789611816,8
5,False,hill climbing,0.009964704513549805,8
9,True,hill climbing with sideways moves,0.016129255294799805,8
9,True,random restart hill climbing,0.020974397659301758,8
3,False,hill climbing,0.006026268005371094,8
103,False,hill climbing with sideways moves,0.24673032760620117,8
61,True,random restart hill climbing,0.12211179733276367,8
4,False,hill climbing,0.008764266967773438,8
104,False,hill climbing with sideways moves,0.24373602867126465,8
12,True,random restart hill climbing,0.025645971298217773,8
5,False,hill climbing,0.009986400604248047,8
106,False,hill climbing with sideways moves,0.22963285446166992,8
60,True,random restart hill climbing,0.11994767189025879,8
4,False,hill climbing,0.009779691696166992,8
104,False,hill climbing with sideways moves,0.24960565567016602,8
16,True,random restart hill climbing,0.032439470291137695,8
4,True,hill climbing,0.004996776580810547,8
4,True,hill climbing with sideways moves,0.010920047760009766,8
4,True,random restart hill climbing,0.008024454116821289,8
3,False,hill climbing,0.006026506423950195,8
104,False,hill climbing with sideways moves,0.21606755256652832,8
57,True,random restart hill climbing,0.12431788444519043,8
3,False,hill climbing,0.005835533142089844,8
4,True,hill climbing with sideways moves,0.008951902389526367,8
6,True,random restart hill climbing,0.009046316146850586,8
3,False,hill climbing,0.006527900695800781,8
104,False,hill climbing with sideways moves,0.23035883903503418,8
38,True,random restart hill climbing,0.07791471481323242,8
4,True,hill climbing,0.007994890213012695,8
4,True,hill climbing with sideways moves,0.008196830749511719,8
4,True,random restart hill climbing,0.008059024810791016,8
4,False,hill climbing,0.01117253303527832,8
6,True,hill climbing with sideways moves,0.011942863464355469,8
31,True,random restart hill climbing,0.06188035011291504,8
5,False,hill climbing,0.009000778198242188,8
105,False,hill climbing with sideways moves,0.2285618782043457,8
13,True,random restart hill climbing,0.024943113327026367,8
5,False,hill climbing,0.009972095489501953,8
105,False,hill climbing with sideways moves,0.24087834358215332,8
35,True,random restart hill climbing,0.08590292930603027,8
4,False,hill climbing,0.008295059204101562,8
105,False,hill climbing with sideways moves,0.2541794776916504,8
16,True,random restart hill climbing,0.035924673080444336,8
5,False,hill climbing,0.010404109954833984,8
105,False,hill climbing with sideways moves,0.2279951572418213,8
31,True,random restart hill climbing,0.07695579528808594,8
4,False,hill climbing,0.00891423225402832,8
5,True,hill climbing with sideways moves,0.009018182754516602,8
70,True,random restart hill climbing,0.14023351669311523,8
4,False,hill climbing,0.007978677749633789,8
104,False,hill climbing with sideways moves,0.2197716236114502,8
21,True,random restart hill climbing,0.04176664352416992,8
4,False,hill climbing,0.01022481918334961,8
7,True,hill climbing with sideways moves,0.01494288444519043,8
20,True,random restart hill climbing,0.03883790969848633,8
4,True,hill climbing,0.010967493057250977,8
4,True,hill climbing with sideways moves,0.0131988525390625,8
4,True,random restart hill climbing,0.01349949836730957,8
4,False,hill climbing,0.012923479080200195,8
104,False,hill climbing with sideways moves,0.23499798774719238,8
7,True,random restart hill climbing,0.01712346076965332,8
4,False,hill climbing,0.007988452911376953,8
105,False,hill climbing with sideways moves,0.23331785202026367,8
54,True,random restart hill climbing,0.10943198204040527,8
3,False,hill climbing,0.00701451301574707,8
4,True,hill climbing with sideways moves,0.00907444953918457,8
39,True,random restart hill climbing,0.08566951751708984,8
3,False,hill climbing,0.006009340286254883,8
103,False,hill climbing with sideways moves,0.24936890602111816,8
37,True,random restart hill climbing,0.08219742774963379,8
4,False,hill climbing,0.007965803146362305,8
104,False,hill climbing with sideways moves,0.22373270988464355,8
40,True,random restart hill climbing,0.08268499374389648,8
3,False,hill climbing,0.006328105926513672,8
103,False,hill climbing with sideways moves,0.25897836685180664,8
69,True,random restart hill climbing,0.13728928565979004,8
2,True,hill climbing,0.0037758350372314453,8
2,True,hill climbing with sideways moves,0.0040018558502197266,8
2,True,random restart hill climbing,0.0049860477447509766,8
3,False,hill climbing,0.005982160568237305,8
103,False,hill climbing with sideways moves,0.2287290096282959,8
22,True,random restart hill climbing,0.043987274169921875,8
5,False,hill climbing,0.011925458908081055,8
105,False,hill climbing with sideways moves,0.24700284004211426,8
45,True,random restart hill climbing,0.11438155174255371,8
4,False,hill climbing,0.009955167770385742,8
105,False,hill climbing with sideways moves,0.24283242225646973,8
13,True,random restart hill climbing,0.029970884323120117,8
5,False,hill climbing,0.01460719108581543,8
105,False,hill climbing with sideways moves,0.2291111946105957,8
23,True,random restart hill climbing,0.06786465644836426,8
5,False,hill climbing,0.013900518417358398,8
105,False,hill climbing with sideways moves,0.22530102729797363,8
44,True,random restart hill climbing,0.09260106086730957,8
4,False,hill climbing,0.00897073745727539,8
6,True,hill climbing with sideways moves,0.009074926376342773,8
124,False,random restart hill climbing,0.2765011787414551,8
5,False,hill climbing,0.010932683944702148,8
7,True,hill climbing with sideways moves,0.016246557235717773,8
44,True,random restart hill climbing,0.08972716331481934,8
5,False,hill climbing,0.010805130004882812,8
7,True,hill climbing with sideways moves,0.01592564582824707,8
14,True,random restart hill climbing,0.03511214256286621,8
3,False,hill climbing,0.006257057189941406,8
104,False,hill climbing with sideways moves,0.2582218647003174,8
26,True,random restart hill climbing,0.06463885307312012,8
4,False,hill climbing,0.009758710861206055,8
7,True,hill climbing with sideways moves,0.016060352325439453,8
7,True,random restart hill climbing,0.014923095703125,8
3,False,hill climbing,0.004075527191162109,8
104,False,hill climbing with sideways moves,0.2626500129699707,8
16,True,random restart hill climbing,0.03546881675720215,8
4,True,hill climbing,0.011831283569335938,8
4,True,hill climbing with sideways moves,0.008973836898803711,8
4,True,random restart hill climbing,0.010142326354980469,8
4,False,hill climbing,0.01000213623046875,8
4,False,hill climbing with sideways moves,0.00921320915222168,8
36,True,random restart hill climbing,0.08358502388000488,8
3,False,hill climbing,0.004117727279663086,8
7,True,hill climbing with sideways moves,0.01755213737487793,8
12,True,random restart hill climbing,0.025240182876586914,8
6,False,hill climbing,0.011937141418457031,8
106,False,hill climbing with sideways moves,0.2637951374053955,8
10,True,random restart hill climbing,0.02034902572631836,8
3,False,hill climbing,0.0036389827728271484,8
104,False,hill climbing with sideways moves,0.24009156227111816,8
8,True,random restart hill climbing,0.0188748836517334,8
3,False,hill climbing,0.006033658981323242,8
9,True,hill climbing with sideways moves,0.020445823669433594,8
35,True,random restart hill climbing,0.08053088188171387,8
3,False,hill climbing,0.010283470153808594,8
103,False,hill climbing with sideways moves,0.23949956893920898,8
7,True,random restart hill climbing,0.015957355499267578,8
4,False,hill climbing,0.011114835739135742,8
10,True,hill climbing with sideways moves,0.02196478843688965,8
50,True,random restart hill climbing,0.11189842224121094,8
5,False,hill climbing,0.014100313186645508,8
106,False,hill climbing with sideways moves,0.2354428768157959,8
21,True,random restart hill climbing,0.043932199478149414,8
3,False,hill climbing,0.0031502246856689453,8
6,True,hill climbing with sideways moves,0.015310525894165039,8
16,True,random restart hill climbing,0.03242063522338867,8
5,False,hill climbing,0.011063337326049805,8
105,False,hill climbing with sideways moves,0.23030924797058105,8
18,True,random restart hill climbing,0.0371096134185791,8
4,False,hill climbing,0.00808262825012207,8
105,False,hill climbing with sideways moves,0.23526978492736816,8
78,True,random restart hill climbing,0.16002154350280762,8
5,True,hill climbing,0.010394811630249023,8
5,True,hill climbing with sideways moves,0.010794401168823242,8
5,True,random restart hill climbing,0.010286569595336914,8
4,False,hill climbing,0.007987737655639648,8
5,True,hill climbing with sideways moves,0.015260934829711914,8
36,True,random restart hill climbing,0.08213090896606445,8
5,False,hill climbing,0.011327743530273438,8
9,True,hill climbing with sideways moves,0.019044160842895508,8
20,True,random restart hill climbing,0.042942047119140625,8
3,True,hill climbing,0.004988431930541992,8
3,True,hill climbing with sideways moves,0.007204771041870117,8
3,True,random restart hill climbing,0.005986452102661133,8
4,False,hill climbing,0.008974552154541016,8
5,True,hill climbing with sideways moves,0.009961605072021484,8
18,True,random restart hill climbing,0.042131662368774414,8
5,False,hill climbing,0.012783288955688477,8
105,False,hill climbing with sideways moves,0.23169612884521484,8
10,True,random restart hill climbing,0.027078866958618164,8
5,False,hill climbing,0.010929584503173828,8
106,False,hill climbing with sideways moves,0.27176690101623535,8
16,True,random restart hill climbing,0.041295528411865234,8
3,False,hill climbing,0.011794328689575195,8
103,False,hill climbing with sideways moves,0.26734256744384766,8
41,True,random restart hill climbing,0.09592032432556152,8
4,False,hill climbing,0.007928609848022461,8
104,False,hill climbing with sideways moves,0.25659728050231934,8
24,True,random restart hill climbing,0.06819486618041992,8
4,False,hill climbing,0.008977174758911133,8
104,False,hill climbing with sideways moves,0.24161958694458008,8
17,True,random restart hill climbing,0.034136295318603516,8
5,True,hill climbing,0.011332511901855469,8
5,True,hill climbing with sideways moves,0.009935855865478516,8
5,True,random restart hill climbing,0.010010957717895508,8
5,False,hill climbing,0.01718926429748535,8
5,False,hill climbing with sideways moves,0.01092982292175293,8
18,True,random restart hill climbing,0.0570070743560791,8
4,True,hill climbing,0.008974790573120117,8
4,True,hill climbing with sideways moves,0.00897526741027832,8
4,True,random restart hill climbing,0.009747982025146484,8
4,False,hill climbing,0.006984233856201172,8
104,False,hill climbing with sideways moves,0.2502720355987549,8
9,True,random restart hill climbing,0.027956485748291016,8
5,False,hill climbing,0.019579172134399414,8
105,False,hill climbing with sideways moves,0.24588346481323242,8
92,True,random restart hill climbing,0.2021808624267578,8
5,False,hill climbing,0.009579896926879883,8
7,True,hill climbing with sideways moves,0.015921354293823242,8
27,True,random restart hill climbing,0.06352353096008301,8
3,False,hill climbing,0.0059888362884521484,8
5,True,hill climbing with sideways moves,0.011060953140258789,8
29,True,random restart hill climbing,0.0611567497253418,8
5,False,hill climbing,0.012680768966674805,8
6,True,hill climbing with sideways moves,0.012890338897705078,8
57,True,random restart hill climbing,0.13438010215759277,8
3,False,hill climbing,0.006969451904296875,8
104,False,hill climbing with sideways moves,0.22606158256530762,8
22,True,random restart hill climbing,0.04684042930603027,8
5,False,hill climbing,0.010375261306762695,8
106,False,hill climbing with sideways moves,0.22443580627441406,8
15,True,random restart hill climbing,0.0421755313873291,8
4,False,hill climbing,0.007963418960571289,8
105,False,hill climbing with sideways moves,0.2170257568359375,8
9,True,random restart hill climbing,0.022877931594848633,8
5,False,hill climbing,0.009972333908081055,8
8,True,hill climbing with sideways moves,0.013064384460449219,8
47,True,random restart hill climbing,0.09849143028259277,8
3,False,hill climbing,0.008469581604003906,8
5,True,hill climbing with sideways moves,0.009917736053466797,8
34,True,random restart hill climbing,0.0687716007232666,8
4,False,hill climbing,0.008013010025024414,8
104,False,hill climbing with sideways moves,0.2519228458404541,8
17,True,random restart hill climbing,0.04016733169555664,8
3,False,hill climbing,0.005984306335449219,8
4,True,hill climbing with sideways moves,0.010675430297851562,8
44,True,random restart hill climbing,0.09957528114318848,8
4,False,hill climbing,0.00787043571472168,8
105,False,hill climbing with sideways moves,0.21887469291687012,8
21,True,random restart hill climbing,0.04139304161071777,8
4,False,hill climbing,0.008648872375488281,8
104,False,hill climbing with sideways moves,0.23703765869140625,8
48,True,random restart hill climbing,0.11051368713378906,8
5,False,hill climbing,0.010845422744750977,8
105,False,hill climbing with sideways moves,0.2257556915283203,8
19,True,random restart hill climbing,0.04994606971740723,8
5,False,hill climbing,0.01622772216796875,8
105,False,hill climbing with sideways moves,0.23037362098693848,8
16,True,random restart hill climbing,0.03213214874267578,8
4,False,hill climbing,0.008034467697143555,8
8,True,hill climbing with sideways moves,0.017316341400146484,8
8,True,random restart hill climbing,0.016011714935302734,8
6,False,hill climbing,0.011968374252319336,8
106,False,hill climbing with sideways moves,0.2297818660736084,8
38,True,random restart hill climbing,0.07400655746459961,8
4,True,hill climbing,0.008046627044677734,8
4,True,hill climbing with sideways moves,0.00830388069152832,8
4,True,random restart hill climbing,0.008028984069824219,8
4,False,hill climbing,0.009239435195922852,8
105,False,hill climbing with sideways moves,0.22596979141235352,8
39,True,random restart hill climbing,0.10447192192077637,8
4,False,hill climbing,0.012965679168701172,8
104,False,hill climbing with sideways moves,0.2419595718383789,8
9,True,random restart hill climbing,0.019377946853637695,8
5,False,hill climbing,0.008134841918945312,8
7,True,hill climbing with sideways moves,0.016129255294799805,8
22,True,random restart hill climbing,0.04622602462768555,8
5,False,hill climbing,0.010003089904785156,8
105,False,hill climbing with sideways moves,0.22368335723876953,8
10,True,random restart hill climbing,0.021297454833984375,8
4,False,hill climbing,0.007964611053466797,8
104,False,hill climbing with sideways moves,0.21393847465515137,8
32,True,random restart hill climbing,0.08293414115905762,8
4,False,hill climbing,0.011004447937011719,8
104,False,hill climbing with sideways moves,0.2228407859802246,8
9,True,random restart hill climbing,0.018128156661987305,8
4,False,hill climbing,0.00797581672668457,8
104,False,hill climbing with sideways moves,0.22518301010131836,8
64,True,random restart hill climbing,0.14323854446411133,8
5,False,hill climbing,0.00998830795288086,8
105,False,hill climbing with sideways moves,0.23094463348388672,8
14,True,random restart hill climbing,0.029542922973632812,8
4,False,hill climbing,0.013276815414428711,8
104,False,hill climbing with sideways moves,0.22014260292053223,8
23,True,random restart hill climbing,0.04599881172180176,8
3,False,hill climbing,0.005983829498291016,8
103,False,hill climbing with sideways moves,0.23517704010009766,8
31,True,random restart hill climbing,0.06571459770202637,8
5,False,hill climbing,0.011349201202392578,8
105,False,hill climbing with sideways moves,0.22231626510620117,8
49,True,random restart hill climbing,0.12115907669067383,8
6,True,hill climbing,0.012365341186523438,8
6,True,hill climbing with sideways moves,0.011937618255615234,8
6,True,random restart hill climbing,0.011972665786743164,8
4,False,hill climbing,0.010944366455078125,8
104,False,hill climbing with sideways moves,0.2563319206237793,8
33,True,random restart hill climbing,0.07588934898376465,8
5,False,hill climbing,0.012336492538452148,8
105,False,hill climbing with sideways moves,0.24748778343200684,8
14,True,random restart hill climbing,0.03426527976989746,8
5,False,hill climbing,0.009983539581298828,8
7,True,hill climbing with sideways moves,0.021951675415039062,8
76,True,random restart hill climbing,0.17879891395568848,8
2,False,hill climbing,0.004522562026977539,8
102,False,hill climbing with sideways moves,0.22564053535461426,8
51,True,random restart hill climbing,0.11173200607299805,8
5,True,hill climbing,0.015195369720458984,8
5,True,hill climbing with sideways moves,0.00897526741027832,8
5,True,random restart hill climbing,0.010216474533081055,8
2,False,hill climbing,0.003988504409790039,8
103,False,hill climbing with sideways moves,0.235093355178833,8
6,True,random restart hill climbing,0.01314854621887207,8
5,True,hill climbing,0.010063409805297852,8
5,True,hill climbing with sideways moves,0.01188802719116211,8
5,True,random restart hill climbing,0.010022401809692383,8
4,True,hill climbing,0.008034944534301758,8
4,True,hill climbing with sideways moves,0.008920431137084961,8
4,True,random restart hill climbing,0.007979393005371094,8
3,False,hill climbing,0.00914144515991211,8
5,True,hill climbing with sideways moves,0.01696467399597168,8
20,True,random restart hill climbing,0.04354357719421387,8
4,False,hill climbing,0.015839576721191406,8
6,True,hill climbing with sideways moves,0.01212620735168457,8
14,True,random restart hill climbing,0.029351472854614258,8
5,True,hill climbing,0.011192560195922852,8
5,True,hill climbing with sideways moves,0.010204076766967773,8
5,True,random restart hill climbing,0.01120758056640625,8
4,False,hill climbing,0.00887918472290039,8
104,False,hill climbing with sideways moves,0.26339244842529297,8
41,True,random restart hill climbing,0.08365130424499512,8
5,False,hill climbing,0.009938716888427734,8
106,False,hill climbing with sideways moves,0.23032450675964355,8
18,True,random restart hill climbing,0.04973459243774414,8
3,True,hill climbing,0.0059833526611328125,8
3,True,hill climbing with sideways moves,0.006989002227783203,8
3,True,random restart hill climbing,0.007016658782958984,8
4,False,hill climbing,0.009213685989379883,8
104,False,hill climbing with sideways moves,0.23227930068969727,8
41,True,random restart hill climbing,0.09397482872009277,8
4,False,hill climbing,0.009962081909179688,8
104,False,hill climbing with sideways moves,0.23599505424499512,8
9,True,random restart hill climbing,0.016997814178466797,8
4,False,hill climbing,0.012622833251953125,8
5,True,hill climbing with sideways moves,0.011962175369262695,8
48,True,random restart hill climbing,0.10050058364868164,8
3,False,hill climbing,0.007017850875854492,8
104,False,hill climbing with sideways moves,0.2361607551574707,8
49,True,random restart hill climbing,0.12369108200073242,8
4,False,hill climbing,0.006979942321777344,8
105,False,hill climbing with sideways moves,0.26361560821533203,8
100,True,random restart hill climbing,0.24401450157165527,8
4,False,hill climbing,0.012147188186645508,8
105,False,hill climbing with sideways moves,0.27184224128723145,8
42,True,random restart hill climbing,0.08910322189331055,8
3,False,hill climbing,0.008855819702148438,8
104,False,hill climbing with sideways moves,0.2335364818572998,8
45,True,random restart hill climbing,0.10762262344360352,8
3,False,hill climbing,0.0060503482818603516,8
103,False,hill climbing with sideways moves,0.25421619415283203,8
11,True,random restart hill climbing,0.026192665100097656,8
4,False,hill climbing,0.01392674446105957,8
