learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
6700.0,0.234375,1.8299195087618299E-9,6700.0,84.89999999999999,68.45623563818674,25.24752475247522,64.47058823529412,6700.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6800.0,0.234375,1.8299195087618299E-9,6800.0,85.2,68.5086282103113,25.252525252525228,63.81418092909536,6800.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
6900.0,0.234375,1.8299195087618299E-9,6900.0,84.8,67.38127427627202,19.999999999999964,62.46913580246913,6900.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7000.0,0.25,2.006030020614465E-9,7000.0,85.3,69.09609223239738,23.036649214659654,65.08313539192399,7000.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7100.0,0.25,2.006030020614465E-9,7100.0,84.5,66.95518696968405,15.30054644808744,62.10268948655256,7100.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7200.0,0.25,2.006030020614465E-9,7200.0,83.2,63.21855186184187,1.176470588235295,57.36040609137055,7200.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7300.0,0.265625,2.1821405324671003E-9,7300.0,82.39999999999999,62.22900383289767,0.0,58.392434988179666,7300.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7400.0,0.265625,2.1821405324671003E-9,7400.0,84.0,66.62258065861992,5.882352941176475,63.882618510158004,7400.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7500.0,0.265625,2.1821405324671003E-9,7500.0,82.89999999999999,64.7884423724765,-0.5882352941176475,62.66375545851527,7500.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7600.0,0.265625,2.1821405324671003E-9,7600.0,83.7,66.99309082367425,0.609756097560976,65.82809224318657,7600.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7700.0,0.28125,2.3582510443197356E-9,7700.0,82.5,64.68812552463355,-2.9411764705882373,63.31236897274633,7700.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7800.0,0.28125,2.3582510443197356E-9,7800.0,80.10000000000001,60.26294349749997,-19.161676646706532,61.80422264875241,7800.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
7900.0,0.28125,2.3582510443197356E-9,7900.0,80.30000000000001,60.623625824505304,-14.534883720930178,63.24626865671642,7900.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
8000.0,0.28125,2.3582510443197356E-9,8000.0,77.8,55.426162031924505,-29.824561403508724,58.192090395480236,8000.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
8100.0,0.296875,2.534361556172371E-9,8100.0,79.5,58.407050917885385,-17.816091954022937,60.271317829457374,8100.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
8200.0,0.296875,2.534361556172371E-9,8200.0,81.6,62.59265433579597,-1.0989010989010994,65.86270871985157,8200.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
8300.0,0.296875,2.534361556172371E-9,8300.0,83.89999999999999,67.04007599207323,9.039548022598876,69.62264150943396,8300.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
8400.0,0.3125,2.710472068025006E-9,8400.0,82.39999999999999,64.33998581703982,0.0,65.00994035785287,8400.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
8500.0,0.3125,2.710472068025006E-9,8500.0,82.39999999999999,63.88602758615028,0.0,66.08863198458573,8500.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
8600.0,0.3125,2.710472068025006E-9,8600.0,83.6,66.40500811196144,7.865168539325848,68.09338521400777,8600.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
8700.0,0.3125,2.710472068025006E-9,8700.0,85.6,70.62854905032309,15.294117647058833,70.49180327868852,8700.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
8800.0,0.328125,2.8865825798776415E-9,8800.0,87.6,74.83510908168442,28.735632183908066,73.67303609341825,8800.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
8900.0,0.328125,2.8865825798776415E-9,8900.0,87.9,75.17439474764053,29.239766081871366,73.4065934065934,8900.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
9000.0,0.328125,2.8865825798776415E-9,9000.0,89.8,79.3856103476152,40.69767441860468,78.48101265822785,9000.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
9100.0,0.34375,3.0626930917302768E-9,9100.0,88.8,77.6247023286292,34.11764705882355,77.82178217821783,9100.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
9200.0,0.34375,3.0626930917302768E-9,9200.0,89.0,77.86898438757444,29.936305732484097,76.8421052631579,9200.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
9300.0,0.34375,3.0626930917302768E-9,9300.0,85.7,71.38947132544776,6.535947712418305,71.05263157894737,9300.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
9400.0,0.34375,3.0626930917302768E-9,9400.0,86.8,73.56531769681823,11.409395973154371,73.44064386317908,9400.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
9500.0,0.359375,3.238803603582912E-9,9500.0,86.6,73.23169367468917,6.293706293706299,72.31404958677685,9500.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
9600.0,0.359375,3.238803603582912E-9,9600.0,86.1,72.00425374216522,4.1379310344827624,70.2991452991453,9600.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
9700.0,0.359375,3.238803603582912E-9,9700.0,83.89999999999999,67.91857295436067,-11.034482758620697,66.31799163179916,9700.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
9800.0,0.375,3.4149141154355474E-9,9800.0,84.0,68.10970262297695,-7.382550335570476,66.73596673596673,9800.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
9900.0,0.375,3.4149141154355474E-9,9900.0,83.5,67.2111601287707,-9.271523178807954,66.5991902834008,9900.0,43568.0,18.0,12.0,12.0,4.0,0.0,0.0,1.0
10000.0,0.375,3.4149141154355474E-9,10000.0,84.5,69.03096903096903,-8.391608391608397,68.10699588477365,10000.0,43512.0,20.0,13.0,13.0,4.0,0.0,0.0,1.0
